Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0656304	Src1	0	0	LastDelay	0.0656304	65630.4	1	1
0.0656304	Src1	0	0	FullDelay	0.0656304	65630.4	1	1
0.0788304	Src2	0	0	LastDelay	0.0788304	78830.4	1	1
0.0788304	Src2	0	0	FullDelay	0.0788304	78830.4	1	1
0.0908304	Src1	0	1	LastDelay	0.0808304	80830.4	1	1
0.0908304	Src1	0	1	FullDelay	0.0808304	80830.4	1	1
0.10283	Src2	0	1	LastDelay	0.0928304	92830.4	1	1
0.10283	Src2	0	1	FullDelay	0.0928304	92830.4	1	1
0.11483	Src1	0	2	LastDelay	0.0948304	94830.4	1	1
0.11483	Src1	0	2	FullDelay	0.0948304	94830.4	1	1
0.12803	Src2	0	2	LastDelay	0.10803	108030	1	1
0.12803	Src2	0	2	FullDelay	0.10803	108030	1	1
0.14003	Src1	0	3	LastDelay	0.11003	110030	1	1
0.14003	Src1	0	3	FullDelay	0.11003	110030	1	1
0.15203	Src2	0	3	LastDelay	0.12203	122030	1	1
0.15203	Src2	0	3	FullDelay	0.12203	122030	1	1
0.16403	Src1	0	4	LastDelay	0.12403	124030	1	1
0.16403	Src1	0	4	FullDelay	0.12403	124030	1	1
0.17723	Src2	0	4	LastDelay	0.13723	137230	1	1
0.17723	Src2	0	4	FullDelay	0.13723	137230	1	1
0.18923	Src1	0	5	LastDelay	0.13923	139230	1	1
0.18923	Src1	0	5	FullDelay	0.13923	139230	1	1
0.20123	Src2	0	5	LastDelay	0.15123	151230	1	1
0.20123	Src2	0	5	FullDelay	0.15123	151230	1	1
0.21323	Src1	0	6	LastDelay	0.15323	153230	1	1
0.21323	Src1	0	6	FullDelay	0.15323	153230	1	1
0.22643	Src2	0	6	LastDelay	0.16643	166430	1	1
0.22643	Src2	0	6	FullDelay	0.16643	166430	1	1
0.23843	Src1	0	7	LastDelay	0.16843	168430	1	1
0.23843	Src1	0	7	FullDelay	0.16843	168430	1	1
0.25043	Src2	0	7	LastDelay	0.18043	180430	1	1
0.25043	Src2	0	7	FullDelay	0.18043	180430	1	1
0.26243	Src1	0	8	LastDelay	0.18243	182430	1	1
0.26243	Src1	0	8	FullDelay	0.18243	182430	1	1
0.27563	Src2	0	8	LastDelay	0.19563	195630	1	1
0.27563	Src2	0	8	FullDelay	0.19563	195630	1	1
0.28763	Src1	0	9	LastDelay	0.19763	197630	1	1
0.28763	Src1	0	9	FullDelay	0.19763	197630	1	1
0.29963	Src2	0	9	LastDelay	0.20963	209630	1	1
0.29963	Src2	0	9	FullDelay	0.20963	209630	1	1
0.31163	Src1	0	10	LastDelay	0.21163	211630	1	1
0.31163	Src1	0	10	FullDelay	0.21163	211630	1	1
0.32483	Src2	0	10	LastDelay	0.22483	224830	1	1
0.32483	Src2	0	10	FullDelay	0.22483	224830	1	1
0.33683	Src1	0	11	LastDelay	0.22683	226830	1	1
0.33683	Src1	0	11	FullDelay	0.22683	226830	1	1
0.34883	Src2	0	11	LastDelay	0.23883	238830	1	1
0.34883	Src2	0	11	FullDelay	0.23883	238830	1	1
0.36083	Src1	0	12	LastDelay	0.24083	240830	1	1
0.36083	Src1	0	12	FullDelay	0.24083	240830	1	1
0.37403	Src2	0	12	LastDelay	0.25403	254030	1	1
0.37403	Src2	0	12	FullDelay	0.25403	254030	1	1
0.38603	Src1	0	13	LastDelay	0.25603	256030	1	1
0.38603	Src1	0	13	FullDelay	0.25603	256030	1	1
0.39803	Src2	0	13	LastDelay	0.26803	268030	1	1
0.39803	Src2	0	13	FullDelay	0.26803	268030	1	1
0.41123	Src1	0	14	LastDelay	0.27123	271230	1	1
0.41123	Src1	0	14	FullDelay	0.27123	271230	1	1
0.42323	Src2	0	14	LastDelay	0.28323	283230	1	1
0.42323	Src2	0	14	FullDelay	0.28323	283230	1	1
0.43523	Src1	0	15	LastDelay	0.28523	285230	1	1
0.43523	Src1	0	15	FullDelay	0.28523	285230	1	1
0.44723	Src2	0	15	LastDelay	0.29723	297230	1	1
0.44723	Src2	0	15	FullDelay	0.29723	297230	1	1
0.46163	Src1	0	16	LastDelay	0.30163	301630	1	1
0.46163	Src1	0	16	FullDelay	0.30163	301630	1	1
0.47483	Src2	0	16	LastDelay	0.31483	314830	1	1
0.47483	Src2	0	16	FullDelay	0.31483	314830	1	1
0.48683	Src1	0	17	LastDelay	0.31683	316830	1	1
0.48683	Src1	0	17	FullDelay	0.31683	316830	1	1
0.49883	Src2	0	17	LastDelay	0.32883	328830	1	1
0.49883	Src2	0	17	FullDelay	0.32883	328830	1	1
0.51083	Src1	0	18	LastDelay	0.33083	330830	1	1
0.51083	Src1	0	18	FullDelay	0.33083	330830	1	1
0.52403	Src2	0	18	LastDelay	0.34403	344030	1	1
0.52403	Src2	0	18	FullDelay	0.34403	344030	1	1
0.53603	Src1	0	19	LastDelay	0.34603	346030	1	1
0.53603	Src1	0	19	FullDelay	0.34603	346030	1	1
0.54803	Src2	0	19	LastDelay	0.35803	358030	1	1
0.54803	Src2	0	19	FullDelay	0.35803	358030	1	1
0.56003	Src1	0	20	LastDelay	0.36003	360030	1	1
0.56003	Src1	0	20	FullDelay	0.36003	360030	1	1
0.57323	Src2	0	20	LastDelay	0.37323	373230	1	1
0.57323	Src2	0	20	FullDelay	0.37323	373230	1	1
0.58523	Src1	0	21	LastDelay	0.37523	375230	1	1
0.58523	Src1	0	21	FullDelay	0.37523	375230	1	1
0.59723	Src2	0	21	LastDelay	0.38723	387230	1	1
0.59723	Src2	0	21	FullDelay	0.38723	387230	1	1
0.60923	Src1	0	22	LastDelay	0.38923	389230	1	1
0.60923	Src1	0	22	FullDelay	0.38923	389230	1	1
0.62243	Src2	0	22	LastDelay	0.40243	402430	1	1
0.62243	Src2	0	22	FullDelay	0.40243	402430	1	1
0.63443	Src1	0	23	LastDelay	0.40443	404430	1	1
0.63443	Src1	0	23	FullDelay	0.40443	404430	1	1
0.64643	Src2	0	23	LastDelay	0.41643	416430	1	1
0.64643	Src2	0	23	FullDelay	0.41643	416430	1	1
0.65843	Src1	0	24	LastDelay	0.41843	418430	1	1
0.65843	Src1	0	24	FullDelay	0.41843	418430	1	1
0.67163	Src2	0	24	LastDelay	0.43163	431630	1	1
0.67163	Src2	0	24	FullDelay	0.43163	431630	1	1
0.68363	Src1	0	25	LastDelay	0.43363	433630	1	1
0.68363	Src1	0	25	FullDelay	0.43363	433630	1	1
0.69563	Src2	0	25	LastDelay	0.44563	445630	1	1
0.69563	Src2	0	25	FullDelay	0.44563	445630	1	1
0.70763	Src1	0	26	LastDelay	0.44763	447630	1	1
0.70763	Src1	0	26	FullDelay	0.44763	447630	1	1
0.72083	Src2	0	26	LastDelay	0.46083	460830	1	1
0.72083	Src2	0	26	FullDelay	0.46083	460830	1	1
